loan_id,gender,marital_status,dependents,qualification,is_self_employed,applicant_income,co_applicant_income,loan_amount,loan_amount_term,credit_history,property_area,status
1,M,No,0.0,Graduate,No,5849.0,0.0,131.93617021276594,360.0,1.0,Urban,Y
2,M,Yes,1.0,Graduate,No,4583.0,1508.0,128.0,360.0,1.0,Rural,N
3,M,Yes,0.0,Graduate,Yes,3000.0,0.0,66.0,360.0,1.0,Urban,Y
4,M,Yes,0.0,Not Graduate,No,2583.0,2358.0,120.0,360.0,1.0,Urban,Y
5,M,No,0.0,Graduate,No,6000.0,0.0,141.0,360.0,1.0,Urban,Y
6,M,Yes,2.0,Graduate,Yes,5417.0,4196.0,267.0,360.0,1.0,Urban,Y
7,M,Yes,0.0,Not Graduate,No,2333.0,1516.0,95.0,360.0,1.0,Urban,Y
8,M,Yes,3.0,Graduate,No,3036.0,2504.0,158.0,360.0,0.0,Semiurban,N
9,M,Yes,2.0,Graduate,No,4006.0,1526.0,168.0,360.0,1.0,Urban,Y
10,M,Yes,1.0,Graduate,No,12841.0,10968.0,349.0,360.0,1.0,Semiurban,N
11,M,Yes,2.0,Graduate,No,3200.0,700.0,70.0,360.0,1.0,Urban,Y
12,M,Yes,2.0,Graduate,No,2500.0,1840.0,109.0,360.0,1.0,Urban,Y
13,M,Yes,2.0,Graduate,No,3073.0,8106.0,200.0,360.0,1.0,Urban,Y
14,M,No,0.0,Graduate,No,1853.0,2840.0,114.0,360.0,1.0,Rural,N
15,M,Yes,2.0,Graduate,No,1299.0,1086.0,17.0,120.0,1.0,Urban,Y
16,M,No,0.0,Graduate,No,4950.0,0.0,125.0,360.0,1.0,Urban,Y
17,M,No,1.0,Not Graduate,No,3596.0,0.0,100.0,240.0,1.0,Urban,Y
18,F,No,0.0,Graduate,No,3510.0,0.0,76.0,360.0,0.0,Urban,N
19,M,Yes,0.0,Not Graduate,No,4887.0,0.0,133.0,360.0,1.0,Rural,N
20,M,Yes,0.0,Graduate,No,2600.0,3500.0,115.0,340.21276595744683,1.0,Urban,Y
21,M,Yes,0.0,Not Graduate,No,7660.0,0.0,104.0,360.0,0.0,Urban,N
22,M,Yes,1.0,Graduate,No,5955.0,5625.0,315.0,360.0,1.0,Urban,Y
23,M,Yes,0.0,Not Graduate,No,2600.0,1911.0,116.0,360.0,0.0,Semiurban,N
24,M,Yes,2.0,Not Graduate,No,3365.0,1917.0,112.0,360.0,0.0,Rural,N
25,M,Yes,1.0,Graduate,No,3717.0,2925.0,151.0,360.0,1.0,Semiurban,N
26,M,Yes,0.0,Graduate,Yes,9560.0,0.0,191.0,360.0,1.0,Semiurban,Y
27,M,Yes,0.0,Graduate,No,2799.0,2253.0,122.0,360.0,1.0,Semiurban,Y
28,M,Yes,2.0,Not Graduate,No,4226.0,1040.0,110.0,360.0,1.0,Urban,Y
29,M,No,0.0,Not Graduate,No,1442.0,0.0,35.0,360.0,1.0,Urban,N
30,F,No,2.0,Graduate,No,3750.0,2083.0,120.0,360.0,1.0,Semiurban,Y
31,M,Yes,1.0,Graduate,No,4166.0,3369.0,201.0,360.0,1.0,Urban,N
32,M,No,0.0,Graduate,No,3167.0,0.0,74.0,360.0,1.0,Urban,N
33,M,No,1.0,Graduate,Yes,4692.0,0.0,106.0,360.0,1.0,Rural,N
34,M,Yes,0.0,Graduate,No,3500.0,1667.0,114.0,360.0,1.0,Semiurban,Y
35,M,No,3.0,Graduate,No,12500.0,3000.0,320.0,360.0,1.0,Rural,N
36,M,Yes,0.0,Graduate,No,2275.0,2067.0,131.93617021276594,360.0,1.0,Urban,Y
37,M,Yes,0.0,Graduate,No,1828.0,1330.0,100.0,340.21276595744683,0.0,Urban,N
38,F,Yes,0.0,Graduate,No,3667.0,1459.0,144.0,360.0,1.0,Semiurban,Y
39,M,No,0.0,Graduate,No,4166.0,7210.0,184.0,360.0,1.0,Urban,Y
40,M,No,0.0,Not Graduate,No,3748.0,1668.0,110.0,360.0,1.0,Semiurban,Y
41,M,No,0.0,Graduate,No,3600.0,0.0,80.0,360.0,1.0,Urban,N
42,M,No,0.0,Graduate,No,1800.0,1213.0,47.0,360.0,1.0,Urban,Y
43,M,Yes,0.0,Graduate,No,2400.0,0.0,75.0,360.0,1.0,Urban,Y
44,M,Yes,0.0,Graduate,No,3941.0,2336.0,134.0,360.0,1.0,Semiurban,Y
45,M,Yes,0.0,Not Graduate,Yes,4695.0,0.0,96.0,340.21276595744683,1.0,Urban,Y
